word,
データを作る時は、日付は和暦や仏暦ではなく、西暦で。,
グラフを見る時には 1.注釈 2.出典元 3.更新日 を必ずチェックしましょう。,
「データ」とは、「情報」を処理や共有に適した形に形式化したものであるため、再度「情報」に変換できる必要があります。,
セル結合は許しません。,
何でもかんでも紙に印刷する時代はもう終わりです。紙前提のフォーマットから抜け出しましょう。,
エビデンスに基づかない施策は、民間療法で病気を直そうとするようなものです。かえって状況を悪化させていませんか？,
Excelでcsvを開いた時、文字化けしてしまったら。慌てずそっ閉じして、新規作成→インポートできっとうまく行きます。,
BADデータの供養でExcelのテキスト置換や関数、前処理ツール等を使う時。誤変換で二次災害を起こさないように細心の注意を払いましょう。,
好きでデータ供養やってるわけじゃないんです。その先がやりたいんです。,
データは組み合わせて使うことで価値が増します。そのため、組み合わせやすく作られたデータがGOODデータです。,
データを作る時は、「同上」「〃」等を使ってはいけません。,
データは世の中の事象の一面を切り取ったものにすぎません。そのデータに現れていない事象は何であるか、常に考えましょう。,
BADデータを作ってしまうとその除霊や供養にはその何倍ものコストがかかります。お金は大切に。,
もう「終わりの始まり」にしましょう。,
取り消し線は人しかわかりません。,
